ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
402	Respiratory chain complex I (subcomplex I beta), mitochondrial	Bovine	NADH:ubiquinone oxidoreductase (EC 1.6.5.3) subcomplex I beta	heart muscle	P03910;P03920;P48305;P52505;Q02365;Q02367;Q02368;Q02369;Q02372;Q02373;Q02374;Q02378;Q02380;Q8HXG5	3283886;None;None;327702;338073;327665;338065;327660;282517;327701;327713;327690;338061;404161	MI:0091-chromatography technologies;MI:0071-molecular sieving;MI:0029-cosedimentation through density gradients	GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	20.01.15;02.11.07;70.16.05;02.13.03	electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	MT-ND4;MT-ND5;NDUFB4;NDUFAB1;NDUFB3;NDUFB6;NDUFB7;NDUFB9;NDUFB8;NDUFB10;NDUFB2;NDUFB1;NDUFB5;NDUFB11	None	12644575	Complex I is the first multiprotein complex of the OXPHOS system and participates in the formation of a proton gradient across the inner mitochondrial membrane coupled to transfer of electrons from NADH to ubiquinone.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	MTND4 NADH4 ND4;MTND5 NADH5 ND5;None;None;None;None;None;UQOR22;None;None;None;None;None;None	NADH-ubiquinone oxidoreductase chain 4;NADH-ubiquinone oxidoreductase chain 5;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4;Acyl carrier protein, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial
403	Cytochrome bc1-complex (EC 1.10.2.2), mitochondrial	Bovine	Complex III; Cytochrome reductase; Ubiquinol:cytochrome c oxidoreductase; respiratory chain complex III	heart muscle	P00125;P00126;P00129;P00130;P00157;P07552;P13271;P13272;P23004;P31800	512500;613899;616871;616109;3283889;281570;286885;287020;282394;282393	MI:0114-x-ray crystallography	GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060	hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration	20.01.15;02.11.07;70.16.05;02.13.03	electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration	CYC1;UQCRH;UQCRB;UQCR10;MT-CYB;UQCR11;UQCRQ;UQCRFS1;UQCRC2;UQCRC1	The bovine heart mitochondrial cytochrome bc1 complex is a dimer, with each monomer consisting of 11 different subunits.Only 10 subunits are displayed, since subunit V (Rieske iron sulfur protein = P13272) contains subunit IX (=precursor of subunit V, compare PMID:8386158).	9651245	None	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	None;None;None;None;COB CYTB MTCYB;UQCR;None;None;None;None	Cytochrome c1, heme protein, mitochondrial;Cytochrome b-c1 complex subunit 6, mitochondrial;Cytochrome b-c1 complex subunit 7;Cytochrome b-c1 complex subunit 9;Cytochrome b;Cytochrome b-c1 complex subunit 10;Cytochrome b-c1 complex subunit 8;Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 2, mitochondrial;Cytochrome b-c1 complex subunit 1, mitochondrial
404	Isocitrate dehydrogenase [NADP], cytoplasmic	Human	IDH1 homodimer	None	O75874	3417	MI:0096-pull down	GO:0008152;GO:0050661;GO:0005737;GO:0005777	metabolic process;NADP binding;cytoplasm;peroxisome	01;16.21.07;70.03;70.19	METABOLISM;NAD/NADP binding;cytoplasm;peroxisome	IDH1	None	15173171	Isocitrate dehydrogenases (IDHs) catalyze the oxidative decarboxylation of isocitrate to alpha-ketoglutarate. The isocitrate dehydrogenase complex appears as homodimer.	None	Homo sapiens (Human)	PICD	Isocitrate dehydrogenase [NADP] cytoplasmic
405	Glucosidase 2	Rat	None	None	B1WC34;D3ZAN3	300445;293721	MI:0028-cosedimentation in solution;MI:0226-ion exchange chromatography;MI:0071-molecular sieving	GO:0006886;GO:0006605;GO:0015031;GO:0006464;GO:0005515;GO:0005783	intracellular protein transport;protein targeting;protein transport;cellular protein modification process;protein binding;endoplasmic reticulum	14.04;20.01.10;14.07;16.01;70.07	protein targeting, sorting and translocation;protein transport;protein modification;protein binding;endoplasmic reticulum	Prkcsh;Ganab	None	8910335	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Prkcsh_predicted,rCG_31596;Ganab_predicted,rCG_48309	Protein kinase C substrate 80K-H;Alpha glucosidase 2 alpha neutral subunit (Predicted)
406	N-acetylglucosamine-1-phosphotransferase	Bovine	None	lactating bovine mammary glands	F1MPB1;Q58CS8	None;508713	MI:0071-molecular sieving;MI:0226-ion exchange chromatography;MI:0019-coimmunoprecipitation	GO:0006605;GO:0005764;GO:0046835;GO:0033299;GO:0016256	protein targeting;lysosome;carbohydrate phosphorylation;secretion of lysosomal enzymes;N-glycan processing to lysosome	14.04;70.25	protein targeting, sorting and translocation;vacuole or lysosome	GNPTAB;GNPTG	None	8940155	None	None	Bos taurus (Bovine);Bos taurus (Bovine)	None;None	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits;N-acetylglucosamine-1-phosphotransferase subunit gamma
407	Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)	Human	None	None	P33402;Q02153	2977;2983	MI:0028- cosedimentation in solution	GO:0009187;GO:0005515;GO:0005737	cyclic nucleotide metabolic process;protein binding;cytoplasm	01.03.10;16.01;70.03	metabolism of cyclic and unusual nucleotides;protein binding;cytoplasm	GUCY1A2;GUCY1B3	None	1683630	Two soluble guanylyl cyclase complexes were found in mammals.  The GUCY1A3-GUCY1B3 complex exhibits higher guanylyl cyclase activity than the GUCY1A2-GUCY1B3 complex.	None	Homo sapiens (Human);Homo sapiens (Human)	GUC1A2 GUCSA2;GUC1B3 GUCSB3 GUCY1B1	Guanylate cyclase soluble subunit alpha-2 ;Guanylate cyclase soluble subunit beta-1
408	Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)	Human	None	None	Q02108;Q02153	2982;2983	MI:0028- cosedimentation in solution	GO:0009187;GO:0005515;GO:0005737	cyclic nucleotide metabolic process;protein binding;cytoplasm	01.03.10;16.01;70.03	metabolism of cyclic and unusual nucleotides;protein binding;cytoplasm	GUCY1A3;GUCY1B3	None	1683630	Two soluble guanylyl cyclase complexes were found in mammals.  The GUCY1A3-GUCY1B3 complex exhibits higher guanylyl cyclase activity than the GUCY1A2-GUCY1B3 complex.	None	Homo sapiens (Human);Homo sapiens (Human)	GUC1A3 GUCSA3 GUCY1A1;GUC1B3 GUCSB3 GUCY1B1	Guanylate cyclase soluble subunit alpha-3 ;Guanylate cyclase soluble subunit beta-1
409	Glutamate-cysteine ligase	Rat	Gamma-glutamylcysteine synthetase; GCLC-GCLM heterodimer	None	P19468;P48508	25283;29739	MI:0028-cosedimentation in solution	None	None	None	None	Gclc;Gclm	None	1967255	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Glclc;Glclr	Glutamate--cysteine ligase catalytic subunit;Glutamate--cysteine ligase regulatory subunit
413	(ER)-localized multiprotein complex, Ig heavy chains associated	Mouse	None	AG8 cell line	P08003;P08113;P09103;P20029;P24369;Q6P5E4;Q99KV1;Q9ESP1;Q9JKR6;Q9JLK7	12304;22027;18453;14828;19035;320011;67838;64136;12282;29867	MI:0031- protein cross-linking with a bifunctional reagent; MI:0096- pull down	GO:0050821;GO:0006457;GO:0030968;GO:0005783	protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum	14.01;32.01.07;70.07	protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum	Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Dnajb11;Sdf2l1;Hyou1;Cabp1	None	12475965	Complex isolated in mouse lymphoma cell lines Ag8(8). The assembly of the chaperones with each other is not dependent on the presence of unassembled, unfolded heavy chains but rather that unassembled heavy chains may bind to this preformed ER chaperone network.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Cai Erp72;Grp94, Tra-1, Tra1, Gp96;Pdia1;Grp78;;Gt Ugcgl1 Uggt Ugt1 Ugtr;;;Grp170;	Protein disulfide-isomerase A4 ;Endoplasmin;Protein disulfide-isomerase ;78 kDa glucose-regulated protein ;Peptidyl-prolyl cis-trans isomerase B ;UDP-glucose:glycoprotein glucosyltransferase 1 ;DnaJ homolog subfamily B member 11 ;Stromal cell-derived factor 2-like protein 1 ;Hypoxia up-regulated protein 1 ;Calcium-binding protein 1
414	(ER)-localized multiprotein complex, in absence of Ig heavy chains	Mouse	None	Ag8.653 cells	P08003;P08113;P09103;P20029;P24369;Q6P5E4;Q9ESP1;Q9JKR6;Q9JLK7	12304;22027;18453;14828;19035;320011;64136;12282;29867	MI:0031- protein cross-linking with a bifunctional reagent; MI:0096- pull down; MI:0019- coimmunoprecipitation	GO:0050821;GO:0006457;GO:0030968;GO:0005783	protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum	14.01;32.01.07;70.07	protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum	Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Sdf2l1;Hyou1;Cabp1	None	12475965	The assembly of the chaperones with each other is not dependent on the presence of unassembled, unfolded heavy chains but rather that unassembled heavy chains may bind to this preformed ER chaperone network.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Cai Erp72;Grp94, Tra-1, Tra1, Gp96;Pdia1;Grp78;;Gt Ugcgl1 Uggt Ugt1 Ugtr;;Grp170;	Protein disulfide-isomerase A4 ;Endoplasmin;Protein disulfide-isomerase ;78 kDa glucose-regulated protein ;Peptidyl-prolyl cis-trans isomerase B ;UDP-glucose:glycoprotein glucosyltransferase 1 ;Stromal cell-derived factor 2-like protein 1 ;Hypoxia up-regulated protein 1 ;Calcium-binding protein 1
415	EXO1-MLH1-PMS2 complex	Human	None	None	P40692;P54278;Q9UQ84	4292;5395;9156	MI:0006- anti bait coimmunoprecipitation	GO:0006308;GO:0006401;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;RNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	01.03.16.03;01.03.16.01;10.01.05.01;32.01.09;70.10	DNA degradation;RNA degradation;DNA repair;DNA damage response;nucleus	MLH1;PMS2;EXO1	None	11427529	The authors propose  the involvement of hExoI as a downstream effector in MMR (DNA mismatch repair) and/or DNA recombination.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COCA2;PMSL2;EXOI HEX1	DNA mismatch repair protein Mlh1;Mismatch repair endonuclease PMS2;Exonuclease 1
416	Nitric oxide synthase-dystrophin complex, skeletal muscle	Mouse	None	striated muscle	P11531;Q9Z0J4	13405;18125	MI:0004-affinity chromatography technologies;MI:0096-pull down;MI:0019-coimmunoprecipitation	GO:0007263;GO:0006936;GO:0005886	nitric oxide mediated signal transduction;muscle contraction;plasma membrane	30.01.09.01;36.25.09;70.02	NO mediated signal transduction;muscle contraction;eukaryotic plasma membrane / membrane attached	Dmd;Nos1	None	7545544	The authors describe that  aberrant regulation of nNOS may contribute to preferential degeneration of fast-twitch muscle fibers in DMD.	DMD is  involved in muscular dystrophy (Duchenne muscular dystrophy).	Mus musculus (Mouse);Mus musculus (Mouse)	None;None	Dystrophin;Nitric oxide synthase, brain
417	COX-2-Cav-3 complex	Rat	None	None	P35355;P51638	29527;29161	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0030234;GO:0050790;GO:0005886	enzyme regulator activity;regulation of catalytic activity;plasma membrane	18.02.01;70.02	enzymatic activity regulation / enzyme regulator;eukaryotic plasma membrane / membrane attached	Ptgs2;Cav3	None	16479074	Chondrocytes were stimulated with Cd.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Cox-2 Cox2;None	Prostaglandin G/H synthase 2 ;Caveolin-3
418	H/ACA ribonucleoprotein complex	Rat	None	None	P40615;Q6AYA1;Q9CQS2;Q9CRB2	170944;499709;66181;52530	MI:0019- coimmunoprecipitation; MI:0071- molecular sieving	GO:0009187;GO:0000154;GO:0005515;GO:0005730	cyclic nucleotide metabolic process;rRNA modification;protein binding;nucleolus	01.03.10;11.06.01;16.01;70.10.07	metabolism of cyclic and unusual nucleotides;rRNA modification;protein binding;nucleolus	Dkc1;Gar1;Nop10;Nhp2	Since Nhp2 and Nop10 from rat were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used.	12446766	NAP57, GAR1, NHP2, and NOP10, and a snoRNA were apparently sufficient for site-specific pseudouridylation of synthetic rRNA substrates. Except for physiological concentration of salt, no exogenous factors were required for catalysis. The box H/ACA snoRNPs associated with phosphorylated but not dephosphorylated Nopp140 and were active in rRNA pseudouridylation independently of their Nopp140 association.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse);Mus musculus (Mouse)	Nap57;Nola1;Nola3;Nola2	H/ACA ribonucleoprotein complex subunit 4 ;H/ACA ribonucleoprotein complex subunit 1 ;H/ACA ribonucleoprotein complex subunit 3 ;H/ACA ribonucleoprotein complex subunit 2
419	Farnesyltransferase	Human	None	None	P49354;P49356	2339;2342	MI:0114- x-ray crystallography	GO:0006497;GO:0005515	protein lipidation;protein binding	14.07.01;16.01	modification with fatty acids (e.g. myristylation, palmitylation, farnesylation);protein binding	FNTA;FNTB	None	11687658	None	None	Homo sapiens (Human);Homo sapiens (Human)	;	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha ;Protein farnesyltransferase subunit beta
420	Dlg1-Cav3-Kcna5 complex	Mammalia	SAP97-Cav-3-Kv1.5 complex	COS-7 cells, heart muscle	P19024;P51637;Q811D0	25470;12391;13383	MI:0096-pull down	GO:0006461;GO:0005886;GO:0043266;GO:0042391	protein complex assembly;plasma membrane;regulation of potassium ion transport;regulation of membrane potential	14.10;70.02	assembly of protein complexes;eukaryotic plasma membrane / membrane attached	Kcna5;Cav3;Dlg1	None	15277200	The results show that a scaffolding complex containing Cav-3 and SAP97 can recruit Kv1.5 by means of multiple protein-protein interactions.	None	Rattus norvegicus (Rat);Mus musculus (Mouse);Mus musculus (Mouse)	Kv1.5;None;Dlgh1, SAP97	Potassium voltage-gated channel subfamily A member 5;Caveolin-3;Disks large homolog 1
421	Dlg1-Cav3-Kcna5 complex	Rat	SAP97-Cav-3-Kv1.5 complex	heart muscle	P19024;P51638;Q62696	25470;29161;25252	MI:0019-coimmunoprecipitation	GO:0006461;GO:0005886;GO:0042391;GO:0043266	protein complex assembly;plasma membrane;regulation of membrane potential;regulation of potassium ion transport	14.10;70.02	assembly of protein complexes;eukaryotic plasma membrane / membrane attached	Kcna5;Cav3;Dlg1	None	15277200	The results show that a scaffolding complex containing Cav-3 and SAP97 can recruit Kv1.5 by means of multiple protein-protein interactions.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Kv1.5;None;Dlgh1, SAP97	Potassium voltage-gated channel subfamily A member 5;Caveolin-3;Disks large homolog 1
422	Beta-dystroglycan-caveolin-3 complex	Human	None	muscle	P56539;Q14118	859;1605	MI:0096- pull down;MI:0019- coimmunoprecipitation;MI:0029- cosedimentation through density gradients	GO:0006461;GO:0005886	protein complex assembly;plasma membrane	14.10;70.02	assembly of protein complexes;eukaryotic plasma membrane / membrane attached	CAV3;DAG1	None	10988290	Caveolin-3 can effectively block the interaction of dystrophin with beta -dystroglycan.	DAG1 is involved in muscular dystrophy and cardiomyopathy (PMID:15117830).	Homo sapiens (Human);Homo sapiens (Human)	;	Caveolin-3 ;Dystroglycan
423	EXO1-MLH1-PMS2 complex	Human	None	None	P40692;P54278;Q9UQ84	4292;5395;9156	MI:0096- pull down	GO:0006308;GO:0006401;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;RNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	01.03.16.03;01.03.16.01;10.01.05.01;32.01.09;70.10	DNA degradation;RNA degradation;DNA repair;DNA damage response;nucleus	MLH1;PMS2;EXO1	None	14676842	EXO1 plays a role in events at the replication sites as well as a functional role in the DNA mismatch repair and/or recombination processes.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COCA2;PMSL2;EXOI HEX1	DNA mismatch repair protein Mlh1;Mismatch repair endonuclease PMS2;Exonuclease 1
424	EXO1-MLH1-PCNA complex	Human	None	None	P12004;P40692;Q9UQ84	5111;4292;9156	MI:0663- confocal microscopy	GO:0006308;GO:0006401;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;RNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	01.03.16.03;01.03.16.01;10.01.05.01;32.01.09;70.10	DNA degradation;RNA degradation;DNA repair;DNA damage response;nucleus	PCNA;MLH1;EXO1	None	14676842	EXO1 plays a role in events at the replication sites as well as a functional role in the DNA mismatch repair and/or recombination processes.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;COCA2;EXOI HEX1	Proliferating cell nuclear antigen;DNA mismatch repair protein Mlh1;Exonuclease 1
425	MSH4-MSH5-GPS2 complex	Human	None	None	O15457;O43196;Q13227	4438;4439;2874	MI:0437- protein tri hybrid; MI:0007- anti tag coimmunoprecipitation; MI:0096- pull down	GO:0006281;GO:0007131;GO:0006974	DNA repair;reciprocal meiotic recombination;cellular response to DNA damage stimulus	10.01.05.01;10.01.05.03.01;32.01.09	DNA repair;meiotic recombination;DNA damage response	MSH4;MSH5;GPS2	None	16122992	The association with GPS2 is mediated through the interface of hMSH4-hMSH5 complex and the N-terminal region of GPS2.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;None	MutS protein homolog 4;MutS protein homolog 5;G protein pathway suppressor 2
426	Meprin A	Human	PABA peptide hydrolase	None	Q16819;Q16820	4224;4225	MI:0019- coimmunoprecipitation	GO:0044257;GO:0005515;GO:0005886	cellular protein catabolic process;protein binding;plasma membrane	14.13.01;16.01;70.02	cytoplasmic and nuclear protein degradation;protein binding;eukaryotic plasma membrane / membrane attached	MEP1A;MEP1B	None	8262185	None	None	Homo sapiens (Human);Homo sapiens (Human)	;	Meprin A subunit alpha ;Meprin A subunit beta
427	Tripeptidyl peptidase	Mouse	TPPII	None	Q64514	22019	MI:0226- ion exchange chromatography; MI:0071- molecular sieving	GO:0044257;GO:0005737	cellular protein catabolic process;cytoplasm	14.13.01;70.03	cytoplasmic and nuclear protein degradation;cytoplasm	Tpp2	None	9974389	TPPII is a homomeric high molecular-weight protease with an estimated mass between 5 and 9 MD. The particle is larger than the 26S proteasome and has a rod-shaped, dynamic supramolecular structure. TPPII exhibits enhanced activity in proteasome inhibitor-adapted cells and degrades polypeptides by exo- as well as predominantly trypsin-like endoproteolytic cleavage.	None	Mus musculus (Mouse)	None	Tripeptidyl-peptidase 2
428	Molybdopterin synthase	Human	None	None	O96007;O96033	4338;4338	MI:0071- molecular sieving	GO:0051191;GO:0009110;GO:0051188;GO:0005515	prosthetic group biosynthetic process;vitamin biosynthetic process;cofactor biosynthetic process;protein binding	01.07.01;16.01	biosynthesis of vitamins, cofactors, and prosthetic groups;protein binding	MOCS2;MOCS2	None	12732628	Molybdenum cofactor (Moco)1 biosynthesis is an ancient, ubiquitous, and highly conserved pathway leading to the biochemical activation of molybdenum. Moco is essential for the activity of sulfite oxidase, xanthine dehydrogenase, and aldehyde oxidase in humans. MOCS2A and MOCS2B are encoded on a single bicistronic mRNA.	Human Moco deficiency leads to the pleiotropic loss of all three of these molybdoenzymes and usually progresses to death at an early age.	Homo sapiens (Human);Homo sapiens (Human)	MCBPE MOCO1;MOCO1	Molybdopterin synthase catalytic subunit ;Molybdopterin synthase sulfur carrier subunit
429	Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)	Human	Ptdlns 3-kinase-pl150 complex	U937 cells, Jurkat 6 cells, HL60 cells	Q8NEB9;Q99570	5289;30849	MI:0019-coimmunoprecipitation	GO:0006605;GO:0005515;GO:0007167;GO:0005886;GO:0046854;GO:0090160	protein targeting;protein binding;enzyme linked receptor protein signaling pathway;plasma membrane;phosphatidylinositol phosphorylation;Golgi to lysosome transport	14.04;16.01;30.05.01;70.02	protein targeting, sorting and translocation;protein binding;receptor enzyme mediated signalling;eukaryotic plasma membrane / membrane attached	PIK3C3;PIK3R4	None	7628435	The homologous Vps34p-Vps15p complex in yeast mediates protein trafficking. Both human Ptdlns 3-kinase (VPS34) and  yeast Vps34p have identical restricted specificities, using only Ptdlns and not PtdIns4P or PtdIns(4,5P)2 as substrate.	None	Homo sapiens (Human);Homo sapiens (Human)	VPS34;VPS15	Phosphatidylinositol 3-kinase catalytic subunit type 3;Phosphoinositide 3-kinase regulatory subunit 4
430	18S U11/U12 snRNP	Human	None	None	O43143;O75533;P14678;P62304;P62306;P62308;P62314;P62316;P62318;P67809;Q13435;Q15393;Q15427;Q15696;Q16560;Q6IEG0;Q6P2Q9;Q8N8D1;Q8TBF4;Q96LT9;Q9BV90;Q9BWJ5;Q9UDW3;Q9Y3B4	1665;23451;6628;6635;6636;6637;6632;6633;6634;4904;10992;23450;10262;8233;11066;154007;10594;10081;85437;55599;79622;83443;55954;51639	MI:0069- mass spectrometry studies of complexes; MI:0029- cosedimentation through density gradients	GO:0000398;GO:0006397;GO:0005634	mRNA splicing, via spliceosome;mRNA processing;nucleus	11.04.03;70.10	mRNA processing (splicing, 5'-, 3'-end processing);nucleus	DHX15;SF3B1;SNRPB;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;YBX1;SF3B2;SF3B3;SF3B4;ZRSR2;SNRNP35;SNRNP48;PRPF8;PDCD7;ZCRB1;RNPC3;SNRNP25;SF3B5;ZMAT5;SF3B6	None	15146077	U12-type spliceosomes excise U12-type introns, which comprise less than 1% of all human introns.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	DBP1 DDX15;SAP155;COD SNRPB1;None;PBSCF;PBSCG;None;SNRPD1;None;NSEP1 YB1;SAP145;KIAA0017 SAP130;SAP49;U2AF1-RS2 U2AF1L2 U2AF1RS2 URP;HM1 U1SNRNPBP;C6orf151;PRPC8;;;KIAA1839 RBM40 RNP;C16orf33;SF3B10;;SAP14 SF3B14 SF3B14A	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15;Splicing factor 3B subunit 1 ;Small nuclear ribonucleoprotein-associated proteins B and B';Small nuclear ribonucleoprotein E;Small nuclear ribonucleoprotein F;Small nuclear ribonucleoprotein G;Small nuclear ribonucleoprotein Sm D1;Small nuclear ribonucleoprotein Sm D2;Small nuclear ribonucleoprotein Sm D3;Nuclease-sensitive element-binding protein 1;Splicing factor 3B subunit 2 ;Splicing factor 3B subunit 3;Splicing factor 3B subunit 4 ;U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 ;U11/U12 small nuclear ribonucleoprotein 35 kDa protein ;U11/U12 small nuclear ribonucleoprotein 48 kDa protein ;Pre-mRNA-processing-splicing factor 8 ;Programmed cell death protein 7 ;Zinc finger CCHC-type and RNA-binding motif-containing protein 1 ;RNA-binding protein 40 ;U11/U12 small nuclear ribonucleoprotein 25 kDa protein ;Splicing factor 3B subunit 5 ;Zinc finger matrin-type protein 5 ;Splicing factor 3B subunit 6
431	MSH2-MSH6-PMS2-MLH1 complex	Human	MutS(alpha)-MutL(alpha)-heteroduplex complex	None	P40692;P43246;P52701;P54278	4292;4436;2956;5395	MI:0107- surface plasmon resonance	GO:0006281;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;16.19.03;32.01.09;70.10	DNA repair;DNA binding;ATP binding;DNA damage response;nucleus	MLH1;MSH2;MSH6;PMS2	None	11441019	MutS-alpha-MutL-alpha-heteroduplex complex requires DNA mismatch and ATP hydrolysis.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COCA2;None;GTBP;PMSL2	DNA mismatch repair protein Mlh1;DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Mismatch repair endonuclease PMS2
432	N-NOS-CHIP-HSP70-1 complex	Human	None	None	P0DMV8;P29475;Q9UNE7	3303;4842;10273	MI:0019-coimmunoprecipitation	GO:0043161;GO:0006511;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm	14.13.01.01;70.03	proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm	HSPA1A;NOS1;STUB1	None	15466472	Cells for analysis were treated with lactacystin, a selective inhibitor of the proteasome. The authors found that CHIP acts to ubiquitylate nNOS and that hsp70 and hsp40 can facilitate this conjugation reaction.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HSPA1, HSX70, HSP70-1A;None;CHIP	Heat shock 70 kDa protein 1A;Nitric oxide synthase, brain;E3 ubiquitin-protein ligase CHIP
